billProposer1,KMT,DPP,PFP,TSU,male,mainlander,SMD,birthyear,incumbent,Internal Administration Committee,Foreign and national defense committee,Economics Committee,Finance committee,Education and Culture ,Transportation,Judicial and organic laws and statutes,Social Welfare and Environmental Hygiene,Procedure Committee,Discipline Committee,Constitutional Amendment Committee,Expenditure Examination
羅淑蕾,1,0,0,0,0,0,1,1952,0,0,0,0,0,0,1,0,0,0,1,0,0
蘇清泉,1,0,0,0,1,0,0,1957,0,0,0,0,0,0,0,0,1,0,1,0,0
尤美女,0,1,0,0,0,0,0,1955,0,0,0,0,0,0,0,1,0,1,1,1,0
田秋堇,0,1,0,0,0,0,0,1954,1,0,0,0,0,0,0,0,1,1,1,0,0
何欣純,0,1,0,0,0,0,1,1973,0,0,0,0,0,1,0,0,0,0,1,0,1
吳宜臻,0,1,0,0,0,0,0,1970,0,0,0,0,0,0,0,1,0,1,1,0,0
吳秉叡,0,1,0,0,1,0,0,1966,0,0,0,0,1,0,0,0,0,1,0,1,0
李昆澤,0,1,0,0,1,0,1,1964,0,0,0,0,0,0,1,0,0,0,1,1,0
李俊俋,0,1,0,0,1,0,1,1965,0,1,0,0,0,0,0,0,0,0,1,1,0
李應元,0,1,0,0,1,0,0,1953,0,0,0,0,1,0,0,0,0,1,1,1,0
林岱樺,0,1,0,0,0,0,1,1972,1,0,0,1,0,0,0,0,0,0,1,0,1
林淑芬,0,1,0,0,0,0,1,1973,0,0,0,0,0,1,0,0,1,0,0,0,1
邱志偉,0,1,0,0,1,0,1,1972,0,0,1,0,0,1,0,0,0,0,1,0,0
邱議瑩,0,1,0,0,0,0,1,1971,1,1,1,1,0,0,0,0,0,0,1,0,0
姚文智,0,1,0,0,1,0,1,1965,0,1,0,0,0,0,0,0,0,0,1,1,0
柯建銘,0,1,0,0,1,0,0,1951,1,0,0,0,0,0,0,1,0,0,0,1,0
段宜康,0,1,0,0,1,1,0,1963,0,1,0,0,0,0,0,0,0,1,1,0,0
高志鵬,0,1,0,0,1,0,1,1963,1,0,0,1,0,0,0,1,0,0,0,1,0
莊瑞雄,0,1,0,0,1,0,1,1963,0,1,0,0,0,0,0,0,0,0,0,0,0
許添財,0,1,0,0,1,0,1,1951,1,0,0,0,1,0,0,0,0,0,0,0,0
許智傑,0,1,0,0,1,0,1,1966,0,0,0,0,0,1,0,0,0,0,1,0,0
陳其邁,0,1,0,0,1,0,0,1964,0,1,0,0,0,0,0,0,0,1,1,1,0
陳明文,0,1,0,0,1,0,1,1954,0,0,0,1,0,0,0,0,0,0,1,0,0
陳亭妃,0,1,0,0,0,0,1,1974,1,0,1,0,0,1,0,0,0,0,1,1,0
陳唐山,0,1,0,0,1,0,1,1935,0,0,1,0,0,0,0,0,0,0,0,1,0
陳素月,0,1,0,0,0,0,1,1966,0,0,0,0,0,0,1,0,0,0,0,0,0
陳節如,0,1,0,0,0,0,0,1944,0,0,0,0,0,0,0,0,1,1,1,0,0
陳歐珀,0,1,0,0,1,0,1,1962,0,0,1,0,0,0,1,0,1,0,1,0,0
黃偉哲,0,1,0,0,1,0,1,1963,1,0,1,1,0,0,0,0,0,0,1,0,1
黃國書,0,1,0,0,1,0,1,1964,0,0,0,0,0,1,0,0,0,0,0,0,0
楊曜,0,1,0,0,1,0,1,1966,0,0,0,0,0,0,0,0,1,0,0,0,0
葉宜津,0,1,0,0,0,0,1,1960,0,0,0,0,0,0,1,0,0,0,1,0,1
管碧玲,0,1,0,0,0,0,1,1956,1,0,0,0,0,0,1,0,0,0,1,1,0
趙天麟,0,1,0,0,1,1,1,1973,0,0,0,0,0,0,0,0,1,1,1,1,0
劉建國,0,1,0,0,1,0,1,1969,0,0,0,0,0,0,0,0,1,0,1,0,0
劉櫂豪,0,1,0,0,1,0,1,1967,0,0,0,0,0,0,1,0,0,0,1,0,1
蔡其昌,0,1,0,0,1,0,1,1969,0,0,0,0,0,0,1,1,0,0,1,0,0
蔡煌瑯,0,1,0,0,1,0,0,1960,1,0,1,0,0,0,0,0,0,1,0,0,0
鄭麗君,0,1,0,0,0,0,0,1969,0,0,0,0,0,1,0,0,0,1,1,1,0
蕭美琴,0,1,0,0,0,0,0,1971,0,0,1,0,0,0,0,0,0,1,1,0,0
薛凌,0,1,0,0,0,0,0,1954,1,0,0,0,1,0,0,0,0,1,1,0,0
蘇震清,0,1,0,0,1,0,1,1965,1,0,0,1,0,0,0,0,0,0,1,0,0
李桐豪,0,0,1,0,1,1,0,1955,0,0,1,0,0,0,0,0,0,1,0,1,0
李鴻鈞,0,0,1,0,0,0,1,1959,0,0,0,0,0,0,1,0,0,0,0,0,0
陳怡潔,0,0,1,0,0,0,0,1979,0,1,0,1,0,0,0,0,0,0,0,0,0
周倪安,0,0,0,1,0,0,0,1972,0,1,0,0,0,0,0,0,0,1,0,0,1
葉津鈴,0,0,0,1,0,0,0,1947,0,0,0,1,0,0,0,0,0,1,0,0,1
賴振昌,0,0,0,1,1,0,0,1958,0,0,0,0,1,1,0,0,0,1,0,1,0
徐欣瑩,0,0,0,0,0,0,1,1972,0,0,0,0,1,0,0,0,1,0,0,0,1
高金素梅,0,0,0,0,0,0,1,1965,1,0,0,0,0,1,0,0,0,0,0,0,0
