id	ide	totsbill	Party	KMT	DPP	PFP	TSU	male	mainlander	SMD	birthyear	incumbent	Internal Administration Committee	Foreign and national defense committee	Economics Committee	Finance committee	Education and Culture 	Transportation	Judicial and organic laws and statutes	Social Welfare and Environmental Hygiene	Procedure Committee	Discipline Committee	Constitutional Amendment Committee	Expenditure Examination
___	"Hsu, Tain-Tsair"	186	2	0	1	0	0	1	0	1	1951	1	0	0	0	1	0	0	0	0	0	0	0	0
___	"Hsu, Chih-Chieh"	348	2	0	1	0	0	1	0	1	1966	0	0	0	0	0	1	0	0	0	0	1	0	0
___	"Chen, Chi-Mai"	585	2	0	1	0	0	1	0	0	1964	0	1	0	0	0	0	0	0	0	1	1	1	0
___	"Chen, Yi-Chieh"	210	3	0	0	1	0	0	0	0	1979	0	1	0	1	0	0	0	0	0	0	0	0	0
___	"Chen, Ming-Wen"	64	2	0	1	0	0	1	0	1	1954	0	0	0	1	0	0	0	0	0	0	1	0	0
___	"Chen, Ting-Fei"	1193	2	0	1	0	0	0	0	1	1974	1	0	1	0	0	1	0	0	0	0	1	1	0
___	"Chen, Tan-Sun"	53	2	0	1	0	0	1	0	1	1935	0	0	1	0	0	0	0	0	0	0	0	1	0
___	"Chen, Ken-Te"	108	1	1	0	0	0	1	0	1	1956	1	0	0	0	0	0	1	0	0	0	1	0	0
___	"Chen, Su-Yueh"	144	2	0	1	0	0	0	0	1	1966	0	0	0	0	0	0	1	0	0	0	0	0	0
___	"Chen, Shu-Huey"	395	1	1	0	0	0	0	0	0	1957	1	0	0	0	0	1	0	0	0	1	1	0	0
___	"Chen, Hsuen-Sheng"	246	1	1	0	0	0	1	1	1	1952	0	0	0	0	0	0	1	0	0	0	0	1	0
___	"Chen, Chao-Ming"	119	1	1	0	0	0	1	0	1	1951	0	1	0	0	0	0	0	0	0	0	0	0	1
___	"Chen, Chiech-Ju"	108	2	0	1	0	0	0	0	0	1944	0	0	0	0	0	0	0	0	1	1	1	0	0
___	"Chen, Pi-Han"	561	1	1	0	0	0	0	0	0	1960	0	0	1	0	0	1	0	0	0	1	1	0	0
___	"Chen, Ou-Po"	547	2	0	1	0	0	1	0	1	1962	0	0	1	0	0	0	1	0	1	0	1	0	0
___	"Chen,Shei-Saint"	182	1	1	0	0	0	1	0	1	1957	0	0	0	0	0	1	0	0	0	0	1	0	0
___	"Chen, Chen-Hsiang"	785	1	1	0	0	0	1	1	0	1942	0	0	1	0	0	0	0	0	0	1	1	0	0
___	"Tseng, Chu-Wei"	49	1	1	0	0	0	1	0	0	1951	0	0	0	0	1	0	0	1	0	0	0	1	0
___	"Fai, Alex Hrong-Tai"	203	1	1	0	0	0	1	1	1	1954	1	0	0	0	1	0	0	0	0	1	1	1	0
___	"Huang, Chih-Hsiung"	691	1	1	0	0	0	1	0	1	1976	1	0	0	0	0	1	0	0	0	1	0	0	0
___	"Huang, Chao-Shun"	530	1	1	0	0	0	0	0	1	1953	1	0	0	1	0	0	0	0	0	0	1	0	1
___	"Huang, Wei-Cher"	426	2	0	1	0	0	1	0	1	1963	1	0	1	1	0	0	0	0	0	0	1	0	1
___	"Huang, Kuo-Shu"	381	2	0	1	0	0	1	0	1	1964	0	0	0	0	0	1	0	0	0	0	0	0	0
___	"Yang, Yu-Hsin"	855	1	1	0	0	0	0	0	0	1974	0	0	0	0	0	0	0	0	1	0	1	0	0
___	"Yang,Ying-Hsiung"	159	1	1	0	0	0	1	0	1	1957	0	0	1	0	0	1	0	0	0	0	1	0	0
__	"Yang, Yao"	741	2	0	1	0	0	1	0	1	1966	0	0	0	0	0	0	0	0	1	0	0	0	0
___	"Yang, Chiung-Ying"	840	1	1	0	0	0	0	0	1	1964	1	0	0	1	0	0	0	0	0	0	1	1	0
___	"Yang, Li-Huan"	146	1	1	0	0	0	0	0	1	1957	1	0	0	0	0	0	1	0	0	0	1	0	0
